genre,gross
Action,760505847.0
Adventure,760505847.0
Fantasy,760505847.0
Sci-Fi,760505847.0
Action,309404152.0
Adventure,309404152.0
Fantasy,309404152.0
Action,200074175.0
Adventure,200074175.0
Thriller,200074175.0
Action,448130642.0
Thriller,448130642.0
Action,73058679.0
Adventure,73058679.0
Sci-Fi,73058679.0
Action,336530303.0
Adventure,336530303.0
Romance,336530303.0
Adventure,200807262.0
Animation,200807262.0
Comedy,200807262.0
Family,200807262.0
Fantasy,200807262.0
Musical,200807262.0
Romance,200807262.0
Action,458991599.0
Adventure,458991599.0
Sci-Fi,458991599.0
Adventure,301956980.0
Family,301956980.0
Fantasy,301956980.0
Mystery,301956980.0
Action,330249062.0
Adventure,330249062.0
Sci-Fi,330249062.0
Action,200069408.0
Adventure,200069408.0
Sci-Fi,200069408.0
Action,168368427.0
Adventure,168368427.0
Action,423032628.0
Adventure,423032628.0
Fantasy,423032628.0
Action,89289910.0
Adventure,89289910.0
Western,89289910.0
Action,291021565.0
Adventure,291021565.0
Fantasy,291021565.0
Sci-Fi,291021565.0
Action,141614023.0
Adventure,141614023.0
Family,141614023.0
Fantasy,141614023.0
Action,623279547.0
Adventure,623279547.0
Sci-Fi,623279547.0
Action,241063875.0
Adventure,241063875.0
Fantasy,241063875.0
Action,179020854.0
Adventure,179020854.0
Comedy,179020854.0
Family,179020854.0
Fantasy,179020854.0
Sci-Fi,179020854.0
Adventure,255108370.0
Fantasy,255108370.0
Action,262030663.0
Adventure,262030663.0
Fantasy,262030663.0
Action,105219735.0
Adventure,105219735.0
Drama,105219735.0
History,105219735.0
Adventure,258355354.0
Fantasy,258355354.0
Adventure,70083519.0
Family,70083519.0
Fantasy,70083519.0
Action,218051260.0
Adventure,218051260.0
Drama,218051260.0
Romance,218051260.0
Drama,658672302.0
Romance,658672302.0
Action,407197282.0
Adventure,407197282.0
Sci-Fi,407197282.0
Action,65173160.0
Adventure,65173160.0
Sci-Fi,65173160.0
Thriller,65173160.0
Action,652177271.0
Adventure,652177271.0
Sci-Fi,652177271.0
Thriller,652177271.0
Action,304360277.0
Adventure,304360277.0
Thriller,304360277.0
Action,373377893.0
Adventure,373377893.0
Fantasy,373377893.0
Romance,373377893.0
Action,408992272.0
Adventure,408992272.0
Sci-Fi,408992272.0
Adventure,334185206.0
Family,334185206.0
Fantasy,334185206.0
Action,234360014.0
Adventure,234360014.0
Fantasy,234360014.0
Sci-Fi,234360014.0
Thriller,234360014.0
Adventure,268488329.0
Animation,268488329.0
Comedy,268488329.0
Family,268488329.0
Fantasy,268488329.0
Action,402076689.0
Adventure,402076689.0
Sci-Fi,402076689.0
Action,245428137.0
Adventure,245428137.0
Sci-Fi,245428137.0
Adventure,234903076.0
Family,234903076.0
Fantasy,234903076.0
Action,202853933.0
Adventure,202853933.0
Fantasy,202853933.0
Sci-Fi,202853933.0
Action,172051787.0
Adventure,172051787.0
Sci-Fi,172051787.0
Adventure,191450875.0
Animation,191450875.0
Comedy,191450875.0
Family,191450875.0
Sport,191450875.0
Action,116593191.0
Adventure,116593191.0
Sci-Fi,116593191.0
Adventure,414984497.0
Animation,414984497.0
Comedy,414984497.0
Family,414984497.0
Fantasy,414984497.0
Action,125320003.0
Adventure,125320003.0
Sci-Fi,125320003.0
Action,350034110.0
Crime,350034110.0
Thriller,350034110.0
Action,202351611.0
Adventure,202351611.0
Horror,202351611.0
Sci-Fi,202351611.0
Thriller,202351611.0
Action,233914986.0
Adventure,233914986.0
Fantasy,233914986.0
Sci-Fi,233914986.0
Thriller,233914986.0
Action,228756232.0
Adventure,228756232.0
Sci-Fi,228756232.0
Adventure,65171860.0
Fantasy,65171860.0
Drama,144812796.0
Romance,144812796.0
Action,90755643.0
Adventure,90755643.0
Fantasy,90755643.0
Romance,90755643.0
Action,101785482.0
Adventure,101785482.0
Sci-Fi,101785482.0
Action,352358779.0
Adventure,352358779.0
Sci-Fi,352358779.0
Action,317011114.0
Adventure,317011114.0
Fantasy,317011114.0
Adventure,237282182.0
Animation,237282182.0
Comedy,237282182.0
Family,237282182.0
Fantasy,237282182.0
Action,130468626.0
Adventure,130468626.0
Sci-Fi,130468626.0
Thriller,130468626.0
Adventure,223806889.0
Animation,223806889.0
Family,223806889.0
Sci-Fi,223806889.0
Action,140080850.0
Comedy,140080850.0
Crime,140080850.0
Thriller,140080850.0
Action,166112167.0
Adventure,166112167.0
Sci-Fi,166112167.0
Animation,137850096.0
Drama,137850096.0
Family,137850096.0
Fantasy,137850096.0
Action,47375327.0
Adventure,47375327.0
Sci-Fi,47375327.0
Action,124051759.0
Adventure,124051759.0
Drama,124051759.0
Romance,124051759.0
Adventure,291709845.0
Family,291709845.0
Fantasy,291709845.0
Action,154985087.0
Adventure,154985087.0
Sci-Fi,154985087.0
Action,533316061.0
Crime,533316061.0
Drama,533316061.0
Thriller,533316061.0
Adventure,292979556.0
Animation,292979556.0
Comedy,292979556.0
Family,292979556.0
Action,198332128.0
Adventure,198332128.0
Animation,198332128.0
Comedy,198332128.0
Family,198332128.0
Sci-Fi,198332128.0
Action,318298180.0
Adventure,318298180.0
Sci-Fi,318298180.0
Adventure,73820094.0
Drama,73820094.0
Family,73820094.0
Mystery,73820094.0
Action,113745408.0
Comedy,113745408.0
Sci-Fi,113745408.0
Western,113745408.0
Action,102176165.0
Adventure,102176165.0
Fantasy,102176165.0
Horror,102176165.0
Thriller,102176165.0
Action,161087183.0
Adventure,161087183.0
Comedy,161087183.0
Sci-Fi,161087183.0
Comedy,100289690.0
Family,100289690.0
Fantasy,100289690.0
Action,100189501.0
Adventure,100189501.0
Sci-Fi,100189501.0
Action,88246220.0
Adventure,88246220.0
Sci-Fi,88246220.0
Thriller,88246220.0
Action,150167630.0
Adventure,150167630.0
Sci-Fi,150167630.0
Thriller,150167630.0
Adventure,356454367.0
Animation,356454367.0
Comedy,356454367.0
Drama,356454367.0
Family,356454367.0
Fantasy,356454367.0
Adventure,362645141.0
